probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YBL093C	1.362839e+00	1.709096e+00	1.883513e+00	1.689496e+00	1.830042e+00	1.754691e+00	2.260600e+00	6.760468e+00	2.635528e+00	1.441017e+00	1.113626e+00	1.016394e+00	
YBL095W	5.923786e+00	5.969553e+00	4.148017e+00	3.254504e+00	3.168068e+00	2.727880e+00	3.166698e+00	3.557615e+00	2.472876e+00	2.362772e+00	2.946871e+00	3.324740e+00	
YBL099W	2.560224e+01	2.953953e+01	2.563235e+01	2.221714e+01	1.805287e+01	1.833107e+01	1.897706e+01	1.812753e+01	1.931119e+01	2.048455e+01	2.323624e+01	2.127001e+01	
YBL101C	4.736177e+00	5.810153e+00	6.337876e+00	5.263924e+00	5.195935e+00	5.894455e+00	7.197711e+00	4.629354e+00	3.573977e+00	2.760635e+00	2.477930e+00	2.382644e+00	
YBL102W	9.828794e+00	1.309420e+01	1.242358e+01	1.062434e+01	9.934702e+00	9.952354e+00	9.682547e+00	6.693586e+00	7.250077e+00	7.472419e+00	7.300808e+00	7.366877e+00	
YBL103C	2.151295e+00	1.861847e+00	2.755691e+00	2.495270e+00	2.643356e+00	2.999751e+00	3.279315e+00	2.738004e+00	2.645672e+00	2.560023e+00	2.400540e+00	2.361356e+00	
YBL106C	1.417052e+00	2.191818e+00	2.175383e+00	1.968506e+00	1.684892e+00	1.792582e+00	1.606207e+00	1.118350e+00	8.468427e-01	8.844220e-01	1.218089e+00	1.504079e+00	
YBL107C	4.223080e+00	3.331714e+00	2.999167e+00	2.503379e+00	2.344084e+00	3.057410e+00	2.930197e+00	3.090415e+00	3.837793e+00	6.469611e+00	4.688369e+00	5.514581e+00	
YBL112C	1.189969e+01	8.501768e+00	6.610468e+00	7.148817e+00	7.995969e+00	6.446768e+00	6.622927e+00	5.621885e+00	1.182948e+01	1.554763e+01	1.414405e+01	1.248169e+01	
YBR001C	5.613602e+00	7.239370e+00	5.654315e+00	4.865162e+00	4.991124e+00	4.251462e+00	3.856664e+00	2.227218e+00	2.847687e+00	2.068464e+00	2.044918e+00	2.277717e+00	
YBR003W	4.412798e+00	2.079299e+00	1.451125e+00	1.222178e+00	1.168247e+00	9.535255e-01	1.140073e+00	9.559049e-01	1.651001e+00	2.899992e+00	3.126351e+00	3.089554e+00	
YBR006W	2.545252e+00	2.717804e+00	2.141911e+00	2.402083e+00	2.418708e+00	2.402981e+00	2.273268e+00	1.382677e+00	1.229183e+00	1.281144e+00	1.246026e+00	1.470620e+00	
YBR008C	1.463696e+00	1.471010e+00	1.828637e+00	1.840108e+00	2.338568e+00	2.966858e+00	4.396319e+00	4.419654e+00	1.582961e+00	2.057187e+00	2.235266e+00	2.138645e+00	
YBR015C	1.697536e+00	1.947139e+00	2.080370e+00	2.192048e+00	1.774993e+00	2.110763e+00	2.132068e+00	2.526827e+00	3.507303e+00	2.853809e+00	2.199581e+00	2.448879e+00	
YBR018C	2.199390e-01	2.693593e-01	3.017161e-01	2.952075e-01	3.382408e-01	2.845586e-01	2.893337e-01	1.638880e-01	1.938034e-01	1.636382e-01	1.787930e-01	1.458807e-01	
YBR024W	2.924473e+00	3.162058e+00	3.139690e+00	2.587763e+00	2.094986e+00	2.336019e+00	2.224125e+00	1.471133e+00	1.524514e+00	2.324689e+00	1.985209e+00	2.359177e+00	
YBR025C	6.014115e+00	3.973793e+00	6.799419e+00	8.321041e+00	7.955173e+00	9.206868e+00	1.003200e+01	1.391962e+01	1.727172e+01	1.303897e+01	8.181242e+00	9.203751e+00	
YBR029C	5.166348e+00	5.026473e+00	6.167676e+00	4.856357e+00	3.316563e+00	3.430550e+00	2.846499e+00	4.685138e+00	3.972577e+00	4.641559e+00	7.127161e+00	7.689614e+00	
YBR034C	1.049464e+00	1.030127e+00	1.102134e+00	1.050038e+00	1.085872e+00	1.280965e+00	2.156547e+00	1.240085e+01	4.759557e+00	1.596469e+00	2.056275e+00	2.706915e+00	
YBR036C	8.483533e+00	7.833511e+00	7.830719e+00	7.069607e+00	6.940311e+00	5.661657e+00	5.892536e+00	5.354456e+00	6.601646e+00	6.668354e+00	6.461979e+00	6.475530e+00	
YBR037C	6.338666e+00	4.119450e+00	2.140631e+00	1.786130e+00	1.668268e+00	1.579367e+00	1.680948e+00	1.049583e+00	2.341355e+00	4.013922e+00	4.363616e+00	4.079301e+00	
YBR038W	5.753187e+00	7.916276e+00	6.376438e+00	4.848526e+00	2.768620e+00	1.425996e+00	5.798233e-01	5.934784e-01	3.185572e-01	3.983924e-01	1.049715e+00	3.743471e+00	
YBR039W	3.992236e+01	3.158667e+01	3.250868e+01	2.655692e+01	2.335903e+01	2.117974e+01	2.374540e+01	2.141704e+01	2.679582e+01	2.996197e+01	3.322302e+01	2.910913e+01	
YBR043C	4.478180e+00	5.626040e+00	5.959724e+00	5.132667e+00	5.290050e+00	5.119313e+00	5.728947e+00	4.238254e+00	2.363181e+00	1.802134e+00	1.968676e+00	2.156440e+00	
YBR044C	7.402760e-01	4.978598e-01	3.319119e-01	3.330675e-01	2.673422e-01	2.628322e-01	3.485294e-01	1.758838e-01	2.968580e-01	4.559027e-01	3.945413e-01	5.491633e-01	
YBR045C	2.879801e-01	1.855516e+00	1.297579e+00	1.208532e+00	1.572654e+00	1.489682e+00	1.587908e+00	2.892093e-01	1.618601e-01	1.043863e-01	9.624485e-02	1.343807e-01	
